Time,J_v
0.002778,3182.022476
0.005556,3206.067769
0.008333,3113.455066
0.011111,3325.922393
0.013889,2974.754555
0.016667,3075.287212
0.019444,2850.22684
0.022222,2925.274946
0.025,3145.342256
0.027778,2876.273502
0.030556,2952.290735
0.033333,3020.175335
0.036111,2698.583179
0.038889,2664.259603
0.041667,2600.153319
0.044444,2454.034751
0.047222,2518.098405
0.05,2405.402585
0.052778,2332.183918
0.055556,2446.440173
0.058333,2233.451409
0.061111,2259.845007
0.063889,2150.854545
0.066667,2232.133228
0.069444,2206.977878
0.072222,2158.343719
0.075,2003.440788
0.077778,2049.112069
0.080556,2060.228776
0.083333,2072.212493
0.086111,2045.22096
0.088889,1997.416932
0.091667,1920.516471
0.094444,1877.419302
0.097222,1820.467153
0.1,1892.961071
0.102778,1867.943721
0.105556,1857.606111
0.108333,1846.050107
0.111111,1861.624618
0.113889,1852.356179
0.116667,1766.82702
0.119444,1749.245736
0.122222,1727.623632
0.125,1705.578435
0.127778,1696.513768
0.130556,1680.80017
0.133333,1597.709212
0.136111,1649.142049
0.138889,1587.298092
0.141667,1547.275424
0.144444,1511.542354
0.147222,1526.240904
0.15,1509.633966
0.152778,1517.344612
0.155556,1482.773406
0.158333,1490.945906
0.161111,1489.855681
0.163889,1489.154766
0.166667,1421.733383
0.169444,1463.660411
0.172222,1446.148485
0.175,1465.03398
0.177778,1311.805045
0.180556,1477.505674
0.183333,1407.781688
0.186111,1438.342605
0.188889,1518.492993
0.191667,1432.607206
0.194444,1369.447249
0.197222,1392.833319
0.2,1371.046256
0.202778,1382.865487
0.205556,1327.63523
0.208333,1354.331217
0.211111,1342.53154
0.213889,1355.142232
0.216667,1320.745508
0.219444,1353.888554
0.222222,1327.712737
0.225,1460.940285
0.227778,1335.90364
0.230556,1331.812289
0.233333,1329.409465
0.236111,1271.565888
0.238889,1307.46376
0.241667,1307.63455
0.244444,1282.406381
0.247222,1322.29092
0.25,1330.630601
0.252778,1299.504332
0.255556,1309.02971
0.258333,1295.181291
0.261111,1286.629535
0.263889,1294.918706
0.266667,1283.126352
0.269444,1259.694458
0.272222,1248.283972
0.275,1245.160023
0.277778,1242.322066
0.280556,1260.417275
0.283333,1243.54482
0.286111,1239.158281
0.288889,1245.689328
0.291667,1234.99588
0.294444,1244.085691
0.297222,1234.198319
0.3,1229.320404
0.302778,1230.500345
0.305556,1208.464676
0.308333,1229.421806
0.311111,1169.677921
0.313889,1190.487779
0.316667,1239.293143
0.319444,1161.332838
0.322222,1155.560295
0.325,1153.43972
0.327778,1160.332133
0.330556,1163.2522
0.333333,1148.528762
0.336111,1131.211551
0.338889,1156.270135
0.341667,1158.040696
0.344444,1140.828406
0.347222,1143.084946
0.35,1134.714412
0.352778,1143.352311
0.355556,1136.955041
0.358333,1138.675043
0.361111,1127.302011
0.363889,1141.368604
0.366667,1106.485485
0.369444,1124.505436
0.372222,1116.39197
0.375,1108.551841
0.377778,1121.801466
0.380556,1127.922715
0.383333,1138.355678
0.386111,1204.844195
0.388889,1115.475838
0.391667,1149.166222
0.394444,1104.580149
0.397222,1108.599972
0.4,1104.814877
0.402778,1103.46424
0.405556,1088.359525
0.408333,1048.456595
0.411111,1092.514085
0.413889,1083.649869
0.416667,1092.27079
